Slide_No,State,District,Latitude,Longitude,MaterialInvolved,Movement Type,History,Year,occurrence
AS/DIM/83G4/2015/21,Assam,Dima Hasao,25.122,93.026,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/19,Assam,Dima Hasao,25.123,93.034,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/20,Assam,Dima Hasao,25.123,93.033,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/65,Assam,Dima Hasao,25.134,93.045,Earth,Slide,2014,2014.0,1
ASM/DH/83G4/2016/19,Assam,Dima Hasao,25.134472,93.018972,Rock cum Debris,Slide,2016,2016.0,1
AS/DIM/83G4/2015/27,Assam,Dima Hasao,25.135,93.04,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/32,Assam,Dima Hasao,25.135,93.04,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/36,Assam,Dima Hasao,25.136,93.04,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/29,Assam,Dima Hasao,25.137,93.04,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/34,Assam,Dima Hasao,25.137,93.034,Earth,Flow,2014,2014.0,1
AS/DIM/83G4/2015/35,Assam,Dima Hasao,25.137,93.04,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/22,Assam,Dima Hasao,25.137,93.018,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/56,Assam,Dima Hasao,25.139,93.025,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/30,Assam,Dima Hasao,25.139,93.04,Earth,Slide,2014,2014.0,1
AS/DIH/83G08/2020/30,Assam,Dima Hasao,25.14,93.3,Debris,Slide,2018,2018.0,1
AS/DIM/83G4/2015/28,Assam,Dima Hasao,25.142,93.04,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/31,Assam,Dima Hasao,25.142,93.04,Earth,Slide,2014,2014.0,1
ASM/DH/83G4/2016/44,Assam,Dima Hasao,25.14525,93.029167,Debris,Slide,2016,2016.0,1
ASM/DH/83G4/2016/16,Assam,Dima Hasao,25.145861,93.024194,Rock cum Debris,Slide,2016,2016.0,1
ASM/DH/83G4/2016/43,Assam,Dima Hasao,25.148722,93.031917,Debris,Slide,2016,2016.0,1
AS/DIM/83G4/2015/41,Assam,Dima Hasao,25.155,93.067,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/42,Assam,Dima Hasao,25.155,93.067,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/26,Assam,Dima Hasao,25.155,93.073,Earth,Slide,2014,2014.0,1
ASM/DH/83G4/2016/25,Assam,Dima Hasao,25.155611,93.022222,Debris,Slide,2016,2016.0,1
ASM/DH/83G4/2016/24,Assam,Dima Hasao,25.155722,93.022778,Earth,Slide,2016,2016.0,1
ASM/DH/83G4/2016/27,Assam,Dima Hasao,25.156389,93.018389,Rock cum Debris,Slide,2016,2016.0,1
ASM/DH/83G4/2016/26,Assam,Dima Hasao,25.156583,93.019611,Rock cum Debris,Slide,2016,2016.0,1
AS/DIM/83G4/2015/64,Assam,Dima Hasao,25.157,93.062,Earth,Slide,2014,2014.0,1
AS/DIM/83G4/2015/43,Assam,Dima Hasao,25.157,93.066,Earth,Slide,2014,2014.0,1
ASM/DH/83G4/2016/29,Assam,Dima Hasao,25.157139,93.017194,Debris,Slide,2016,2016.0,1
ASM/DH/83G4/2016/28,Assam,Dima Hasao,25.157361,93.016083,Rock cum Debris,Slide,2016,2016.0,1
ASM/DH/83G4/2016/30,Assam,Dima Hasao,25.159333,93.017,Earth,Slide,2016,2016.0,1
ASM/DH/83G4/2016/14,Assam,Dima Hasao,25.163444,93.023167,Debris,Slide,2016,2016.0,1
ASM/DH/83G4/2016/13,Assam,Dima Hasao,25.165639,93.025444,Debris,Slide,2016,2016.0,1
ASM/DH/83G4/2016/12,Assam,Dima Hasao,25.171889,93.003944,Debris,Slide,2016,2016.0,1
ASM/DH/83G4/2016/10,Assam,Dima Hasao,25.175972,93.020167,Debris,Slide,2016,2016.0,1
ASM/DH/83G4/2016/23,Assam,Dima Hasao,25.176389,93.116139,Debris,Slide,2016,2016.0,1
ASM/DH/83G4/2016/08,Assam,Dima Hasao,25.176917,93.026556,Earth,Slide,2014,2014.0,1
ASM/DH/83G4/2016/05,Assam,Dima Hasao,25.1775,93.026222,Earth,Slide,2014,2014.0,1
ASM/DH/83G4/2016/20,Assam,Dima Hasao,25.184528,93.125639,Debris,Slide,2016,2016.0,1
AS/DIM/83G4/2015/62,Assam,Dima Hasao,25.186,93.104,Earth,Slide,2014,2014.0,1
ASM/DH/83G4/2016/53,Assam,Dima Hasao,25.189556,93.096417,Debris,Slide,2016,2016.0,1
AS/DIM/83G4/2015/50,Assam,Dima Hasao,25.201,93.122,Earth,Slide,2014,2014.0,1
ASM/DH/83G4/2016/54,Assam,Dima Hasao,25.204556,93.138889,Debris,Slide,2016,2016.0,1
AS/DIM/83G4/2015/53,Assam,Dima Hasao,25.206,93.126,Earth,Slide,2014,2014.0,1
ASM/DH/83G4/2016/03,Assam,Dima Hasao,25.207389,93.122778,Debris,Subsidence,2016,2016.0,1
AS/DIM/83G4/2015/51,Assam,Dima Hasao,25.208,93.121,Earth,Slide,2014,2014.0,1
AS/DIH/83G08/2020/27,Assam,Dima Hasao,25.21,93.31,Debris,Slide,2018,2018.0,1
AS/NC/83G04/2009-10/AS-6,Assam,Dima Hasao,25.229556,93.1556,Debris,Slide,02 April 2010,2010.0,1
AS/DIM/83G4/2015/52,Assam,Dima Hasao,25.242,93.14,Earth,Slide,2014,2014.0,1
AS/DIM/83G3/2015/59,Assam,Dima Hasao,25.42,93.002,Earth,Slide,2014,2014.0,1
AS/DIM/83G3/2015/60,Assam,Dima Hasao,25.424,93.0,Earth,Slide,2014,2014.0,1
AS/DIM/83G2/2015/06,Assam,Dima Hasao,25.64897,93.12083,Debris,Slide,2015,2015.0,1
AS/KAM/78O5/2020/3,Assam,Kamrup (Rural),25.84,91.35,Debris,Slide,2018,2018.0,1
AS/KAM/78O5/2020/2,Assam,Kamrup (Rural),25.91,91.4,Debris,Slide,2017,2017.0,1
AS/KAM/78O5/2020/1,Assam,Kamrup (Rural),25.95,91.28,Debris,Slide,2019,2019.0,1
ASM/WKA/83B08/2017/40,Assam,West Karbi Anglong,26.012,92.264167,Debris,Slide,2016,2016.0,1
ASM/WKA/83B08/2017/39,Assam,West Karbi Anglong,26.013528,92.266083,Debris,Slide,2016,2016.0,1
ASM/WKA/83B08/2017/30,Assam,West Karbi Anglong,26.031528,92.472778,Earth,Slide,2016,2016.0,1
ASM/WKA/83B08/2017/28,Assam,West Karbi Anglong,26.033556,92.468056,Debris,Slide,2014,2014.0,1
ASM/WKA/83B08/2017/29,Assam,West Karbi Anglong,26.035278,92.470861,Debris,Slide,2010,2010.0,1
ASM/WKA/83B08/2017/27,Assam,West Karbi Anglong,26.039194,92.4595,Debris,Slide,2014,2014.0,1
ASM/WKA/83B08/2017/26,Assam,West Karbi Anglong,26.043583,92.452222,Debris,Slide,2014,2014.0,1
ASM/NAG/83B08/2017/12,Assam,Nagaon,26.101333,92.440556,Debris,Slide,2011,2011.0,1
ASM/NAG/83B08/2017/11,Assam,Nagaon,26.102167,92.440472,Earth,Slide,2010,2010.0,1
ASM/NAG/83B08/2017/08,Assam,Nagaon,26.102333,92.4415,Rock cum Debris,Slide,2012,2012.0,1
ASM/NAG/83B08/2017/09,Assam,Nagaon,26.102667,92.441639,Rock cum Debris,Slide,2013,2013.0,1
ASM/NAG/83B08/2017/10,Assam,Nagaon,26.103028,92.440889,Earth,Slide,2011,2011.0,1
ASM/NAG/83B08/2017/07,Assam,Nagaon,26.10725,92.44,Rock cum Debris,Slide,2013,2013.0,1
ASM/NAG/83B08/2017/06,Assam,Nagaon,26.108417,92.440222,Debris,Slide,2013,2013.0,1
ASM/NAG/83B08/2017/05,Assam,Nagaon,26.110139,92.439333,Debris,Slide,2014,2014.0,1
AS/KRP/78N16/2018/001,Assam,Kamrup,26.112667,91.853889,Debris,Slide,24 August 2018,2018.0,1
ASM/NAG/83B08/2017/15,Assam,Nagaon,26.113639,92.441222,Debris,Slide,2010,2010.0,1
ASM/NAG/83B08/2017/04,Assam,Nagaon,26.116972,92.440083,Rock cum Debris,Slide,2014,2014.0,1
ASM/NAG/83B08/2017/03,Assam,Nagaon,26.117111,92.441028,Debris,Slide,2014,2014.0,1
AS/KAM(M)/78N12/2023/01,Assam,Kamrup (Metro),26.1505375,91.72798139,Earth,Slide,17 June 2023 at 18:00 hrs.,2023.0,1
ASM/KMP/78N16/2017/03,Assam,Kamrup (Metro),26.15428,91.79264,Debris,Slide,13 June 2017,2017.0,1
ASM/NAG/83B08/2017/46,Assam,Nagaon,26.172917,92.762778,Debris,Slide,2016,2016.0,1
ASM/KMP/78N16/2016/65,Assam,Kamrup (Metro),26.1755,91.76175,Debris,Slide,2016,2016.0,1
ASM/KMP/78N16/2017/05,Assam,Kamrup (Metro),26.17672,91.76525,Debris,Slide,13 June 2017,2017.0,1
ASM/KMP/78N16/2017/0004,Assam,Kamrup (Metro),26.17756,91.76589,Debris,Slide,13 June 2017,2017.0,1
ASM/KMP/78N16/2017/06,Assam,Kamrup (Metro),26.18842,91.85125,Earth,Slide,16 June 2017,2017.0,1
ASM/KMP/78N16/2016/64,Assam,Kamrup (Metro),26.190389,91.809944,Earth,Slide,2016,2016.0,1
ASM/KMP/78N16/2016/63,Assam,Kamrup (Metro),26.192444,91.764222,Earth,Slide,2016,2016.0,1
AS/KAM/78N16/2014/05,Assam,Kamrup (Metro),26.19622,91.76336,Earth,Flow,23 March 2011,2011.0,1
AS/NC/83G04/2009/B-5,Assam,Dima Hasao,26.20261,91.14528,Debris,,20 August 2009,2009.0,1
AS/JOR/83J06/2020/9,Assam,Jorhat,26.54,94.37,Earth,Slide,2019,2019.0,1
AS/JOR/83J06/2020/10,Assam,Jorhat,26.54,94.37,Earth,Slide,2019,2019.0,1
AS/JOR/83J06/2020/5,Assam,Jorhat,26.55,94.36,Earth,Slide,2019,2019.0,1
AS/JOR/83J06/2020/6,Assam,Jorhat,26.55,94.36,Earth,Slide,2019,2019.0,1
AS/JOR/83J06/2020/7,Assam,Jorhat,26.55,94.36,Rock,Slide,2019,2019.0,1
AS/JOR/83J06/2020/8,Assam,Jorhat,26.55,94.36,Earth,Slide,2019,2019.0,1
AS/JOR/83J06/2020/2,Assam,Jorhat,26.56,94.36,Earth,Slide,2019,2019.0,1
AS/JOR/83J06/2020/3,Assam,Jorhat,26.56,94.36,Debris,Slide,2019,2019.0,1
AS/JOR/83J06/2020/4,Assam,Jorhat,26.56,94.36,Earth,Slide,2019,2019.0,1
AS/JOR/83J06/2020/12,Assam,Jorhat,26.6,94.35,Earth,Slide,2018,2018.0,1
AS/CAC/83D09/2025/4,Assam,Cachar,24.96756,92.74392,Debris,Slide,March 2025,2025.0,1
AS/CAC/83D09/2025/5,Assam,Cachar,24.95794,92.73201,Debris,Slide,April 2025,2025.0,1
AS/CAC/83D09/2025/6,Assam,Cachar,24.95054,92.731458,Earth,Slide,June 2025,2025.0,1
AS/CAC/83D09/2025/7,Assam,Cachar,24.94756,92.73097,Earth,Slide,June 2025,2025.0,1
ASM/DH/83G04/2022-23/014,Assam,Dima Hasao,25.16736,93.00953,Debris,Slide,15 May 2022,2022.0,1
ASM/DH/83G04/2022-23/017,Assam,Dima Hasao,25.16023,93.01084,Debris,Slide,14 May 2022,2022.0,1
ASM/DH/83G04/2022-23/018,Assam,Dima Hasao,25.162389,93.010222,Debris,Slide,14th April 2022,2022.0,1
ASM/DH/83G04/2022-23/019,Assam,Dima Hasao,25.1625278,93.0103333,Debris,Slide,14th – 15th April 2022,2022.0,1
ASM/DH/83G04/2022-23/020,Assam,Dima Hasao,25.162472,93.01044,Debris,Slide,14th – 15th April 2022,2022.0,1
ASM/DH/83G04/2022-23/009,Assam,Dima Hasao,25.17175,93.00726,Debris,Subsidence,14th – 16th May 2022,2022.0,1
ASM/DH/83G04/2022-23/028,Assam,Dima Hasao,25.16649,93.01092,Debris,Slide,14th - 15thMay 2022,2022.0,1
ASM/DH/83G04/2022-23/029,Assam,Dima Hasao,25.170194,93.007389,Debris,Slide,15th May 2022,2022.0,1
ASM/DH/83G04/2022-23/046,Assam,Dima Hasao,25.17144,93.005694,Debris,Slide,14th  – 15th  May 2022,2022.0,1
ASM/DH/83G04/2022-23/015,Assam,Dima Hasao,25.16579,93.00948,Debris,Slide,14 May 2022,2022.0,1
ASM/DH/83G04/2022-23/016,Assam,Dima Hasao,25.15859,93.01292,Debris,Slide,14 May 2022,2022.0,1
ASM/DH/83G04/2022-23/027,Assam,Dima Hasao,25.15556,93.021583,Debris,Slide,14 May 2022,2022.0,1
ASM/DH/83G04/2022-23/008,Assam,Dima Hasao,25.156483,93.018367,Debris,Subsidence,2016 and 14th – 16th May 2022,2016.0,1
ASM/DH/83G04/2022-23/026,Assam,Dima Hasao,25.158138,93.024778,Earth,Slide,15 May 2022,2022.0,1
ASM/DH/83G4/ PD/2016/55,Assam,Dima Hasao (N.C. Hills),25.24194444,93.14319444,Debris,Slide,22 May 2016,2016.0,1
ASM/DH/83G04/2022-23/024,Assam,Dima Hasao,25.17044,93.025325,Debris,Slide,14th -15th May 2022,2022.0,1
ASM/DH/83G04/2022-23/011,Assam,Dima Hasao,25.171264,93.020014,Debris,Subsidence,14th – 15th May 2022,2022.0,1
ASM/DH/83G04/2022-23/025,Assam,Dima Hasao,25.16804,93.02503,Debris,Slide,14 May 2022,2022.0,1
ASM/DH/83G04/2022-23/007,Assam,Dima Hasao,25.178006,93.022825,Earth,Subsidence,"1985, 1992, 2004, 2016 and",2004.0,1
ASM/DH/83G04/2022-23/044,Assam,Dima Hasao,25.168083,93.024922,Earth,Slide,14 May 2022,2022.0,1
ASM/DH/83G4/ PD/2016/56,Assam,Dima Hasao (N.C. Hills),25.27480556,93.14555556,Rock,Slide,22 May 2016,2016.0,1
ASM/DH/83G04/2022-23/045,Assam,Dima Hasao,25.1638056,93.010861,Debris,Slide,14th -15th  May 2022,2022.0,1
ASM/DH/83G04/2022-23/031,Assam,Dima Hasao,25.175,93.01967,Debris,Slide,"2006, reactivated on May 2022",2006.0,1
ASM/DH/83G04/2022-23/032,Assam,Dima Hasao,25.17483,93.019861,Debris,Slide,15 May 2022,2022.0,1
ASM/DH/83G04/2022-23/033,Assam,Dima Hasao,25.1568056,93.019722,Debris,Slide,13 May 2022,2022.0,1
ASM/DH/83G04/2022-23/035,Assam,Dima Hasao,25.1565,93.0151,Debris,Slide,May 2022,2022.0,1
ASM/DH/83G04/2022-23/036,Assam,Dima Hasao,25.15667,93.01275,Debris,Slide,14th – 15th May 2022,2022.0,1
ASM/DH/83G04/2022-23/037,Assam,Dima Hasao,25.16367,93.02478,Debris,Slide,14th – 16th May 2022,2022.0,1
ASM/DH/83G04/2022-23/039,Assam,Dima Hasao,25.16649,93.02289,Debris,Slide,14th -15th  May 2022,2022.0,1
ASM/DH/83G04/2022-23/040,Assam,Dima Hasao,25.16497,93.02275,Debris,Slide,14th -15th  May 2022,2022.0,1
ASM/DH/83G04/2022-23/041,Assam,Dima Hasao,25.1655,93.02556,Debris,Slide,14th -15th  May 2022,2022.0,1
ASM/DH/83C16/2022-23/042,Assam,Dima Hasao,25.16427,92.99788,Debris,Slide,14 -15  May 2022,2022.0,1
ASM/DH/83G04/2022-23/043,Assam,Dima Hasao,25.17425,93.00244,Debris,Slide,14th  -15th May 2022,2022.0,1
ASM/DH/83G04/2022-23/047,Assam,Dima Hasao,25.162667,93.009806,Debris,Slide,14 May 2022,2022.0,1
ASM/DH/83G04/2022-23/038,Assam,Dima Hasao,25.16553,93.02172,Debris,Slide,14-15 May 2022,2022.0,1
ASM/DH/83G4/ PD/2016/29,Assam,Dima Hasao (N.C. Hills),25.15713889,93.01719444,Debris,Slide,27 May 2016,2016.0,1
ASM/DH/83C16/PD/2016/51,Assam,Dima Hasao (N.C. Hills),25.11077778,93.00458333,Debris,Slide,2nd week of May 2016,2016.0,1
ASM/DH/83G4/PD/2016/43,Assam,Dima Hasao (N.C. Hills),25.14872222,93.03191667,Debris,Creep,17 May 2016,2016.0,1
ASM/DH/83G04/2022-23/001,Assam,Dima Hasao,25.14264,93.03182,Debris,Flow,14th to 16th May 2022,2022.0,1
ASM/DH/83G04/2022-23/002,Assam,Dima Hasao,25.143408,93.02995,Debris,Flow,14th to 16th May 2022,2022.0,1
ASM/DH/83G04/2022-23/004,Assam,Dima Hasao,25.14879,93.031636,Debris,Slide,14th May 2022,2022.0,1
ASM/DH/83G04/2022-23/005,Assam,Dima Hasao,25.15144,93.0331,Debris,Slide,14th May 2022,2022.0,1
ASM/DH/83G4/ PD/2016/06,Assam,Dima Hasao (N.C. Hills),25.15669444,93.01766667,Debris,Slide,15th May 2022,2022.0,1
AS/KAM(M)/78N12/2023/01,Assam,Kamrup (Metro),26.150124,91.727915,Earth,Slide,17 Jun 2023 at 18:00 hrs.,2023.0,1
ASM/DH/83G4/ PD/2016/23,Assam,Dima Hasao,25.17638889,93.11613889,Debris,Slide,22 May 2016,2016.0,1
ASM/KAM(M)/78N16/2016/63,Assam,Kamrup (Metro),26.19244444,91.76422222,Earth,Slide,20 July 2016,2016.0,1
ASM/KAM/78N16/2019/03,Assam,Kamrup (Metro),26.19236111,91.78080556,Debris,Subsidence,10 July 2019,2019.0,1
ASM/KAM/78N12/2019/04,Assam,Kamrup (Metro),26.15805556,91.71258333,Debris,Slide,16 July 2019,2019.0,1
ASM/KAM/78N16/2020/001,Assam,Kamrup (Metro),26.19330556,91.77725,Debris,Slide,28 June 2020,2020.0,1
ASM/KAM/78N16/2020/002,Assam,Kamrup (Metro),26.09150556,91.87898611,Earth,Slide,12 July 2020,2020.0,1
ASM/KAM/78N12/2020/003,Assam,Kamrup (Metro),26.21305556,91.6925,Rock,Fall,26 June 2020,2020.0,1
ASM/DH/83G04/2022-23/023,Assam,Dima Hasao,25.17136,93.01102,Debris,Slide,14 May 2022,2022.0,1
ASM/DH/83G04/2022-23/010,Assam,Dima Hasao,25.169861,93.002528,Debris,Slide,15th May 2022,2022.0,1
ASM/DH/83G04/2022-23/012,Assam,Dima Hasao,25.18972,93.02011,Debris,Slide,14th – 15th May 2022,2022.0,1
ASM/DH/83G04/2022-23/013,Assam,Dima Hasao,25.18625,93.01629,Debris,Slide,14th – 15th  2022,2022.0,1
ASM/DH/83G04/2022-23/030,Assam,Dima Hasao,25.177416,93.00975,Debris,Slide,16 May 2022,2022.0,1
ASM/DH/83G04/2022-23/006,Assam,Dima Hasao,25.2316944,93.1614167,Earth,Slide,14th – 15th  May 2022,2022.0,1
ASM/DH/83G04/2022-23/022,Assam,Dima Hasao,25.18919,93.02118,Debris,Slide,15 May 2022,2022.0,1
ASM/DH/83G04/2022-23/021,Assam,Dima Hasao,25.17623,93.01326,Debris,Slide,14 May 2022,2022.0,1
AS/KAM(M)/78N16/2025/006,Assam,Kamrup,26.19113889,91.82961111,Earth,Slide,31 May 2025,2025.0,1
AS/KAM(M)/78N12/2025/01,Assam,Kamrup,26.166185,91.7147,Earth,Slide,04 June 2025,2025.0,1
AS/KAM(M)/78N12/2025/02,Assam,Kamrup,26.16616,91.713803,Earth,Slide,04 June 2025 at 14.30 hrs.,2025.0,1
AS/KAM(M)/78N12/2025/03,Assam,Kamrup,26.16297,91.7059,Earth,Slide,05 June 2025 at 15.20 hrs.,2025.0,1
AS/KAM(M)/78N12/2025/04,Assam,Kamrup,26.17027,91.698,Debris,Slide,31 May 2025,2025.0,1
ASM/DH/83C16/2023-24/001,Assam,Dima Hasao,25.117665,92.847709,Debris,Slide,14 May 2022,2022.0,1
ASM/DH/83C15/2023-24/001,Assam,Dima Hasao,25.366255,92.823037,Debris,Slide,14 May 2022,2022.0,1
ASM/DH/83G03/2023-24/004,Assam,Dima Hasao,25.316197,93.006158,Earth,Subsidence,16 June 2022,2022.0,1
LS_ASM_DH_0390/2024,Assam,Dima Hasao,25.172918,92.995982,Debris,Slide,2024,2024.0,1
LS_ASM_DH_0391/2024,Assam,Dima Hasao,25.319717,93.123028,Debris,Slide,"July, 2024",2024.0,1
LS_ASM_DH_0392/2024,Assam,Dima Hasao,25.318433,93.115767,Debris,Slide,"July, 2024",2024.0,1
LS_ASM_DH_0396/2024,Assam,Dima Hasao,25.22548,93.023783,Debris,Slide,2024,2024.0,1
LS_ASM_DH_0399/2024,Assam,Dima Hasao,25.18846,93.003768,Debris,Slide,2024,2024.0,1
LS_ASM_DH_0406/2024,Assam,Dima Hasao,25.18833,93.104922,Earth,Slide,"2016, 2022",2016.0,1
LS_ASM_DH_0407/2024,Assam,Dima Hasao,25.147883,93.085354,Debris,Slide,2022,2022.0,1
ARN/WK/83A12/2016/01,Arunachal Pradesh,West Kameng,27.018342,92.6356,Debris,Slide,1 July 2016 at 12:20 hrs.,2016.0,1
AP/WK/83E12/2008/A-9,Andhra Pradesh,West Kameng,27.035278,92.610556,Rock cum Debris,Slide,2008,2008.0,1
AR/WKA/83A12/2014/23,Arunachal Pradesh,West Kameng,27.06658,92.59572,Debris,Slide,2013,2013.0,1
AP/PP/83E12/2008/A-1,Andhra Pradesh,Papum Pare,27.078472,93.605639,,Slide,2008,2008.0,1
AP/WK/83E12/2008/A-10,Andhra Pradesh,West Kameng,27.086667,92.585278,Debris,,2008,2008.0,1
AP/PP/83E12/2008/A-4,Andhra Pradesh,Papum Pare,27.091139,93.615667,Rock cum Debris,Slide,2008,2008.0,1
AP/WK/83E12/2008/A-11,Andhra Pradesh,West Kameng,27.093889,92.591389,Debris,,2008,2008.0,1
AP/PP/83E12/2008/A-2,Andhra Pradesh,Papum Pare,27.095278,93.615694,,Slide,2008,2008.0,1
AP/PP/83E12/2008/A-5,Andhra Pradesh,Papum Pare,27.106472,93.663889,Rock cum Debris,Slide,2008,2008.0,1
ARN/PAP/83E11/2017/03,Arunachal Pradesh,Papum Pare,27.10736,93.64975,Debris,Slide,2017,2017.0,1
AP/PP/83E12/2008/A-6,Andhra Pradesh,Papum Pare,27.112222,93.694444,,Flow,2008,2008.0,1
AP/PP/83E12/2008/A-8,Andhra Pradesh,Papum Pare,27.124444,93.742222,,Creep,2008,2008.0,1
ARN/PAP/83E11/2017/02,Arunachal Pradesh,Papum Pare,27.1275,93.73164,Debris,Slide,2017,2017.0,1
ARN/PAP/83E11/2017/04,Arunachal Pradesh,Papum Pare,27.1275,93.73164,Debris,Slide,2017,2017.0,1
ARN/LS/83E15/2016/04,Arunachal Pradesh,Lower Subansiri,27.193425,93.780983,Debris,Slide,16 July 2016,2016.0,1
ARN/LS/83E15/2016/08,Arunachal Pradesh,Lower Subansiri,27.23995,93.806589,Debris,Slide,17 July 2016,2016.0,1
ARN/LS/83E15/2016/07,Arunachal Pradesh,Lower Subansiri,27.246131,93.804711,Debris,Slide,17 July 2016,2016.0,1
ARN/LS/83E15/2016/06,Arunachal Pradesh,Lower Subansiri,27.254756,93.801303,Debris,Slide,17 July 2016,2016.0,1
ARN/LS/83E15/2016/05,Arunachal Pradesh,Lower Subansiri,27.294886,93.803328,Debris,Slide,17 July 2016,2016.0,1
ARN/LS/83E15/2016/03,Arunachal Pradesh,Lower Subansiri,27.307072,93.806008,Debris,Slide,17 July 2016,2016.0,1
ARN/LS/83E15/2016/02,Arunachal Pradesh,Lower Subansiri,27.339267,93.802581,Debris,Slide,16 July 2016,2016.0,1
AP/WK/83E12/2008/A-14,Andhra Pradesh,West Kameng,27.345556,92.266389,Debris,Flow,2008,2008.0,1
AP/WK/83E12/2008/A-12,Andhra Pradesh,West Kameng,27.460278,92.110278,Rock,Fall,2008,2008.0,1
AP/WK/78M14/2008/A-13,Andhra Pradesh,West Kameng,27.512278,91.875556,,Flow,2008,2008.0,1
AR/TAW/78M14/2014/22,Arunachal Pradesh,Tawang,27.58006,91.97728,Rock cum Debris,Slide,2013,2013.0,1
ARN/TWG/78M14/2016/0028,Arunachal Pradesh,Tawang,27.589,91.873194,Earth,Slide,2016,2016.0,1
ARN/TWG/78M14/2016/0029,Arunachal Pradesh,Tawang,27.590556,91.867667,Debris,Subsidence,2016,2016.0,1
ARN/TWG/78M14/2016/0030,Arunachal Pradesh,Tawang,27.590639,91.876806,Earth,Slide,2016,2016.0,1
ARN/TWG/78M14/2016/0031,Arunachal Pradesh,Tawang,27.590639,91.876806,Debris,Slide,2016,2016.0,1
ARN/TWG/78M14/2016/0026,Arunachal Pradesh,Tawang,27.599,91.876528,Debris,Slide,2016,2016.0,1
ARN/TWG/78M14/2016/0027,Arunachal Pradesh,Tawang,27.599806,91.876111,Debris,Slide,2016,2016.0,1
ARN/KRA/83E10/2017,Arunachal Pradesh,Kra Daadi,27.690111,93.632556,Debris,Slide,2017,2017.0,1
AR/LOH/92A05/2014/05,Arunachal Pradesh,Lohit,27.87469,96.35986,Rock,Slide,May 2014,2014.0,1
AR/LOH/92A05/2014/01,Arunachal Pradesh,Lohit,27.87825,96.36614,Rock,Fall,May 2014,2014.0,1
AR/LOH/92A05/2014/02,Arunachal Pradesh,Lohit,27.89311,96.36336,Rock,Fall,May 2014,2014.0,1
AR/LOH/92A05/2014/03,Arunachal Pradesh,Lohit,27.90417,96.35869,Rock cum Debris,Slide,May 2014,2014.0,1
AR/ANJ/92A05/2014/21,Arunachal Pradesh,Lohit,27.90467,96.35917,Rock,Slide,2013,2013.0,1
AR/ANJ/92A05/2014/19,Arunachal Pradesh,Lohit,27.90475,96.34811,Debris,Fall,2013,2013.0,1
