latitude,longitude,central_pressure_hpa,pressure_drop_hpa,wind_speed_kt,risk
16.0,82.2,990.0,14.0,50.0,1
16.2,82.0,990.0,14.0,50.0,1
16.3,81.7,990.0,14.0,50.0,1
16.5,81.5,992.0,12.0,40.0,1
17.0,81.3,997.0,7.0,35.0,1
17.3,81.2,999.0,5.0,30.0,0
17.7,81.1,999.0,5.0,30.0,0
18.7,80.9,1000.0,4.0,25.0,0
19.6,80.7,1000.0,3.0,20.0,0
5.4,99.7,1004.0,3.0,20.0,0
5.3,99.5,1004.0,3.0,20.0,0
5.1,99.0,1003.0,4.0,25.0,0
5.1,98.5,1002.0,5.0,30.0,0
5.0,98.0,999.0,8.0,40.0,1
4.9,97.8,999.0,8.0,40.0,1
4.7,97.8,999.0,8.0,40.0,1
4.6,97.8,999.0,8.0,40.0,1
4.3,98.1,1000.0,7.0,35.0,1
4.1,98.3,1000.0,7.0,35.0,1
4.0,98.5,1000.0,7.0,35.0,1
3.8,98.8,1001.0,6.0,35.0,1
3.7,99.2,1002.0,5.0,30.0,0
3.7,99.6,1002.0,5.0,30.0,0
3.6,99.8,1003.0,4.0,25.0,0
3.6,100.7,1004.0,3.0,20.0,0
3.6,100.9,1004.0,3.0,20.0,0
12.8,80.6,1003.0,5.0,30.0,0
12.8,80.6,1003.0,5.0,30.0,0
13.0,80.6,1003.0,5.0,30.0,0
13.0,80.6,1003.0,5.0,30.0,0
13.0,80.6,1003.0,5.0,30.0,0
12.9,80.5,1004.0,4.0,25.0,0
12.8,80.5,1004.0,4.0,25.0,0
12.5,80.4,1004.0,4.0,25.0,0
12.3,80.3,1004.0,4.0,25.0,0
12.1,80.2,1005.0,3.0,20.0,0
